run_id,run_status,robot_model,robot_ip,step_idx,time_s,target_x,target_y,target_z,target_a,target_b,target_c,meas_x,meas_y,meas_z,axis_a4,axis_a5,torque_j1,velocity_j1,current_j1,torque_j2,velocity_j2,current_j2,torque_j3,velocity_j3,current_j3,torque_j4,velocity_j4,current_j4,torque_j5,velocity_j5,current_j5,torque_j6,velocity_j6,current_j6,pick_x,pick_y,pick_z,place_x,place_y,place_z,dt,pulse_ms
20260317_132824,completed,KR10_R1100,172.31.17.101,1,0,550,0,650,-179.99,0.5,-179.9,550,9.16476096e-16,650,0.465199441,80.7447739,-26.1525249,0,-1.68718803,-99.8425064,0,9.69526291,-116.652222,0,9.27285862,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00254305545,-1.02523112,3.18666124,0.00104669237,4.67218351,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,2,0.03,550.009405436783,0.0189730362693494,649.985891844825,-179.99,0.5,-179.899951351189,550,9.16476096e-16,650,0.465199441,80.7447739,-26.1525249,0,-1.68718803,-99.8425064,0,9.69526291,-116.652222,0,9.27285862,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00254305545,-1.02523112,3.18666124,0.00104669237,4.67218351,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,3,0.06,550.072327558153,0.145902143171146,649.89150866277,-179.99,0.5,-179.899625891941,550,9.16476096e-16,650,0.465199441,80.7447739,-26.1525249,0,-1.68718803,-99.8425064,0,9.69526291,-116.652222,0,9.27285862,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00254305545,-1.02523112,3.18666124,0.00104669237,4.67218351,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,4,0.09,550.234472505541,0.472987640488778,649.648291241688,-179.99,0.5,-179.898787211178,550,9.16476096e-16,650,0.465199441,80.7447739,-26.1525249,0,-1.68718803,-99.8425064,0,9.69526291,-116.652222,0,9.27285862,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00254305545,-1.02523112,3.18666124,0.00104669237,4.67218351,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,5,0.12,550.533446597847,1.07609055082883,649.19983010323,-179.99,0.5,-179.897240793459,550.234,0.473,649.648,0.465199441,80.7447739,-26.1525249,0.00762939826,-0.00523365242,-99.8425064,0,7.848979,-54.8675346,0.000953741197,9.659585,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00394848874,0.173117906,-3.5240221,0.00104669237,-4.17262459,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,6,0.15,550.999219178438,2.01566627374547,648.501171232343,-179.99,0.5,-179.894831624939,550.234,0.473,649.648,0.465199441,80.7447739,-26.1525249,0.00762939826,-0.00523365242,-99.8425064,0,7.848979,-54.8675346,0.000953741197,9.659585,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00394848874,0.173117906,-3.5240221,0.00104669237,-4.17262459,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,7,0.18,551.654585462155,3.33769825986485,647.518121806767,-179.99,0.5,-179.891441799334,550.234,0.473,649.648,0.465199441,80.7447739,-26.1525249,0.00762939826,-0.00523365242,-99.8425064,0,7.848979,-54.8675346,0.000953741197,9.659585,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00394848874,0.173117906,-3.5240221,0.00104669237,-4.17262459,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,8,0.21,552.515629382312,5.07463168500947,646.226555926531,-179.99,0.5,-179.886988123885,550.234,0.473,649.648,0.465199441,80.7447739,-26.1525249,0.00762939826,-0.00523365242,-99.8425064,0,7.848979,-54.8675346,0.000953741197,9.659585,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00394848874,0.173117906,-3.5240221,0.00104669237,-4.17262459,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,9,0.24,553.592186437698,7.2463071243226,644.611720343452,-179.99,0.5,-179.881419725322,550.234,0.473,649.648,0.465199441,80.7447739,-26.1525249,0.00762939826,-0.00523365242,-99.8425064,0,7.848979,-54.8675346,0.000953741197,9.659585,-0.508362532,-0.00508634234,1.40982246,-1.74448013,0.00394848874,0.173117906,-3.5240221,0.00104669237,-4.17262459,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,10,0.27,554.888306539579,9.86089422639264,642.667540190631,-179.99,0.5,-179.87471565583,554.888,9.861,642.668,0.465199441,80.7447739,-26.1525249,0.643412292,-0.00523365242,-67.1459885,-0.807444215,2.2511735,-54.8675346,0.0887007043,9.61523819,-63.7479858,-0.011443981,1.40982246,-9.29197,0.00394848874,-1.25951052,-4.80500174,0.0500158668,-4.06390524,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,11,0.3,556.4027168587,12.9158253873775,640.39592471195,-179.99,0.5,-179.866882499007,554.888,9.861,642.668,0.465199441,80.7447739,-26.1525249,0.643412292,-0.00523365242,-67.1459885,-0.807444215,2.2511735,-54.8675346,0.0887007043,9.61523819,-63.7479858,-0.011443981,1.40982246,-9.29197,0.00394848874,-1.25951052,-4.80500174,0.0500158668,-4.06390524,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,12,0.33,558.129284672286,16.3987294251291,637.806072991571,-179.99,0.5,-179.857951975833,554.888,9.861,642.668,0.465199441,80.7447739,-26.1525249,0.643412292,-0.00523365242,-67.1459885,-0.807444215,2.2511735,-54.8675346,0.0887007043,9.61523819,-63.7479858,-0.011443981,1.40982246,-9.29197,0.00394848874,-1.25951052,-4.80500174,0.0500158668,-4.06390524,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,13,0.36,560.057480211046,20.2883652533175,634.913779683431,-179.99,0.5,-179.847978550633,554.888,9.861,642.668,0.465199441,80.7447739,-26.1525249,0.643412292,-0.00523365242,-67.1459885,-0.807444215,2.2511735,-54.8675346,0.0887007043,9.61523819,-63.7479858,-0.011443981,1.40982246,-9.29197,0.00394848874,-1.25951052,-4.80500174,0.0500158668,-4.06390524,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,14,0.39,562.172839506173,24.5555555555556,631.740740740741,-179.99,0.5,-179.837037037037,554.888,9.861,642.668,0.465199441,80.7447739,-26.1525249,0.643412292,-0.00523365242,-67.1459885,-0.807444215,2.2511735,-54.8675346,0.0887007043,9.61523819,-63.7479858,-0.011443981,1.40982246,-9.29197,0.00394848874,-1.25951052,-4.80500174,0.0500158668,-4.06390524,608,117,263,45,204,204,0.03,12
20260317_132824,completed,KR10_R1100,172.31.17.101,15,0.42,564.457427236345,29.1641204595233,628.313859145483,-179.99,0.5,-179.82522020395,554.888,9.861,642.668,0.465199441,80.7447739,-26.1525249,0.643412292,2.56372809,-80.5254745,0.0953673571,9.66144943,-64.2244492,0,10.2079649,-63.7479858,0,-0.779548883,3.18882871,0.00263256533,3.79822731,-3.34849524,0,-2.22806025,608,117,263,45,204,204,0.03,12
