Time_s,RL_SpeedOverride,Reward,TrackingError_mm,EE_Velocity_mms,TorqueMag_Nm
0.0003259,0.991872131824493,-0.0068051081717431,4.67453767e-16,1.06290473995412,54.6145248559295
0.2836173,0.991872668266296,0.140677577929549,0.031885959323341,1.06290473995412,54.6145248559295
0.3363981,0.992545545101166,0.0418761746716395,0.227031527307195,7.11080437774186,54.6145248559295
0.406967,0.993114829063416,0.0550660362840912,0.776749563581151,18.3239372197278,54.6145248559295
0.6210466,0.993537783622742,0.067231260964504,1.79035790928739,33.7869454828644,51.0377067903146
0.8827858,0.993919372558594,0.0774783945508225,3.36946122883787,52.6367775431658,51.0377067903146
0.9417075,0.99422812461853,0.0852712040419308,5.59134186386934,74.0626879356716,51.0377067903146
1.1387902,0.994473516941071,0.0904652273233884,8.51052898292301,97.3062373544764,51.0377067903146
1.1895191,0.994662940502167,0.0929807408980449,12.160367761594,121.661292652655,51.0377067903146
1.2428769,0.994928181171417,0.0882901502775125,16.5545885663014,146.474026842327,62.8593751829129
1.6914204,0.994918048381805,0.110862155846984,9.52884234377983,171.142919094677,62.8593751829129
1.7436568,0.994971573352814,0.0875434278176345,15.3417272889794,195.118754739886,62.8593751829129
1.7979219,0.994907319545746,0.0866280717729573,12.4399336614235,217.90462526717,62.8593751829129
2.0625525,0.994886934757233,0.0617718218969399,19.5621936883964,239.055928324769,62.8593751829129
2.1209254,0.995036065578461,0.0357996042473282,27.3075935311807,258.180367720005,82.3044492606061
2.3761761,0.994952261447906,0.0098435978704834,35.5557321334018,274.937953419097,82.3044492606061
2.5968373,0.994600653648376,0.0497235674291852,17.4861042236071,289.041001547476,82.3044492606061
2.6611511,0.994449973106384,0.023608248558649,26.4937262197132,300.254134389442,82.3044492606061
2.713337,0.994263708591461,-0.00093932962971266,35.1786463905986,308.394280388441,82.3044492606061
2.912069,0.994133234024048,-0.0256833589664331,44.3949981813796,313.330674146859,88.9868004763919
3.1850775,0.993898272514343,-0.0504588792159505,53.8445437962744,314.984856426163,88.9868004763919
3.2379053,0.993552803993225,0.0108736389803611,28.8479832422727,313.330674146859,88.9868004763919
3.4479881,0.993833243846893,-0.0115061888316219,38.0998100340244,308.394280388429,88.9868004763919
3.4989169,0.994081854820251,-0.0324505266769948,47.1074330998856,300.254134389448,88.9868004763919
3.5507485,0.994208097457886,-0.0535214539690555,55.7786625112386,289.04100154747,81.4246414157352
3.960824,0.994393467903137,-0.0709308336698695,64.0268006693591,274.937953419098,81.4246414157352
4.0126758,0.994544267654419,-0.0862273408218068,71.7722113766008,258.180367720013,81.4246414157352
4.0654863,0.994554162025452,-0.0703473833545926,67.26598611813,239.055928324762,81.4246414157352
4.2701699,0.994574189186096,-0.0642870499682016,67.0518289009382,217.904625267176,81.4246414157352
4.3213655,0.994457483291626,-0.0531238420745453,64.5742162851962,195.118754739889,73.9538729542392
4.5912827,0.994106113910675,0.033082784791244,32.6069755252807,171.142919094677,73.9538729542392
4.7880004,0.994063556194305,0.0307677950538046,36.8365431786641,146.47402684232,73.9538729542392
4.8391727,0.993973970413208,0.0306179167784903,40.4863121440042,121.661292652648,73.9538729542392
4.8921879,0.993832170963287,0.0182295309219128,43.4054992645438,97.3062373544736,73.9538729542392
5.1034952,0.993765115737915,0.00325383802614376,45.6273799025506,74.0626879356875,84.1070379055233
5.3550886,0.992973744869232,0.104297382777464,0.000509701563640431,52.6367775431623,84.1070379055233
5.4064871,0.992703974246979,0.0728944120684452,7.73392711086644,33.7869454828709,84.1070379055233
5.6006044,0.992272138595581,0.058174852126235,8.28374505249486,18.323937219727,84.1070379055233
5.6517316,0.991745054721832,0.0434933803113953,8.47132744603636,7.11080437776777,84.1070379055233
5.7038315,0.990719556808472,0.0496842043101971,1.26208862596368,1.06290473992578,69.11499357114
6.1184316,0.99023962020874,0.026232172097556,1.27809017751804,1.6216270315681,69.11499357114
6.1715861,0.991171658039093,-0.00750041009386142,1.42379684371845,10.8486416155301,69.11499357114
6.2243185,0.992159008979797,0.00415026698477378,2.00450161262474,27.9560254117693,69.11499357114
6.4283226,0.992939651012421,0.0237605781204563,3.37301263667516,51.5472572940325,69.11499357114
6.478968,0.993389546871185,0.0411249051293576,5.68962099620297,80.3056173432992,56.9103264771947
6.7420937,0.993879497051239,0.0530928391582332,9.03160137906287,112.9941868478,56.9103264771947
6.9386293,0.994237244129181,0.0652239543702736,11.7886091155764,148.455848302967,56.9103264771947
6.9900898,0.994509100914001,0.0703956904059905,16.8162750013733,185.613285411368,56.9103264771947
7.045107,0.994642436504364,0.0863315286926528,16.9624452333468,223.468983082932,56.9103264771947
7.243911,0.994631230831146,0.0781623220552079,24.5593959932761,261.105227434602,45.2957541551127
7.5088858,0.994681477546692,0.042430759457072,33.490024166998,297.68410579073,45.2957541551127
7.5743437,0.994665563106537,0.00541656773739181,43.463449367481,332.447506682767,45.2957541551127
7.8173825,0.994443237781525,0.00555483208144757,38.9023156350314,364.717119849403,45.2957541551127
7.8703003,0.994296967983246,-0.0334554181180264,50.7189731270587,393.894436236565,45.2957541551127
7.923314,0.994256198406219,-0.0752317010297005,63.302680652229,419.460747997334,59.4857289571229
8.3545896,0.993985652923584,-0.115274097996344,76.5319150447594,440.977148492033,59.4857289571229
8.4055743,0.993646919727325,-0.155262029162639,90.2743926938348,458.0845322883,59.4857289571229
8.4578297,0.992969393730164,-0.13781365735574,81.2708660561712,470.503595160767,59.4857289571229
8.6633108,0.992417693138123,-0.167521733761976,91.9072955479352,478.034834091466,59.4857289571229
8.7144566,0.991269290447235,-0.189612177615983,99.8313744832756,480.558547269535,32.677694842732
8.9811919,0.991165697574615,-0.22548774501549,114.172073167963,478.034834091466,32.677694842732
9.180271,0.991608738899231,-0.259758055648471,128.286915753419,470.503595160767,32.677694842732
9.2321952,0.991987407207489,-0.291706844697265,142.029244110727,458.0845322883,32.677694842732
9.2850631,0.991531789302826,-0.180347957879529,98.30138151002,440.977148492033,32.677694842732
9.5268881,0.992024540901184,-0.205789460981366,110.88520394994,419.460747997334,45.7001807339804
