Time_s,Target_X,Target_Y,Target_Z,RL_SpeedNorm,RoArm_Spd_Param,Reward,TrackingError_mm,EE_Velocity_mms,Is_Dwell
0,250,0,220,0.999663114547729,100,-0.179868566551664,3.08093151564576,55.5902669338603,0
0.2,254.166666666667,-10,217.5,0.999861180782318,100,0.0499832481285588,1.92574376249367,55.5902669338603,0
0.4,258.333333333333,-20,215,0.999913096427917,100,-0.131912274277205,3.92868468425442,55.5902669338584,0
0.6,262.5,-30,212.5,0.999842345714569,100,0.102866680390438,1.34387535224088,55.5902669338604,0
0.8,266.666666666667,-40,210,0.999854743480682,100,0.0718998883659663,1.68496781999627,55.5902669338604,0
1,270.833333333333,-50,207.5,0.999827444553375,100,0.140901592099382,0.925246818881486,55.5902669338584,0
1.2,275,-60,205,0.999825060367584,100,0.147298257504946,0.854891171189951,55.5902669338604,0
1.4,279.166666666667,-70,202.5,0.999848425388336,100,0.0923546679869757,1.45974392401118,55.5902669338604,0
1.6,283.333333333333,-80,200,0.999883890151978,100,-0.0106930950439289,2.59420893792084,55.5902669338584,0
1.8,287.5,-90,197.5,0.999867081642151,100,0.04373561728487,1.99503585448817,55.5902669338604,0
2,291.666666666667,-100,195,0.999808013439178,100,0.189182408333373,0.393606819458321,55.5902669338604,0
2.2,295.833333333333,-110,192.5,0.99991899728775,100,-0.148100136745121,4.10674235263273,55.5902669338584,0
2.4,300,-120,190,0.9998779296875,100,0.0144294878937329,2.31761530357476,55.5902669338604,0
2.6,300,-120,190,0.999874711036682,100,-0.0480338664253174,0.784515321879149,0,1
2.8,295.833333333333,-110,192.5,0.99989515542984,100,-0.0465837362761299,2.95113537719712,55.5902669338604,0
3,291.666666666667,-100,195,0.999892175197601,100,-0.0335652345202989,2.82698504706692,55.5902669338584,0
3.2,287.5,-90,197.5,0.999882519245148,100,0.0031238699330869,2.44217221405754,55.5902669338604,0
3.4,283.333333333333,-80,200,0.999847769737244,100,0.105949343842733,1.31005387658815,55.5902669338604,0
3.6,279.166666666667,-70,202.5,0.999908030033112,100,-0.090129855544574,3.46868625753806,55.5902669338584,0
3.8,275,-60,205,0.999874591827393,100,0.0326595105241816,2.11694201445137,55.5902669338604,0
4,270.833333333333,-50,207.5,0.999902606010437,100,-0.0648746266887958,3.19073803270039,55.5902669338604,0
4.2,266.666666666667,-40,210,0.999900221824646,100,-0.0543718991622374,3.07518279208511,55.5902669338584,0
